GTD ID,DATE,COUNTRY,CITY,PERPETRATOR GROUP,FATALITIES,INJURED,INJ AND FATA,TARGET TYPE
2.02E+11,31-12-2020,India,Sangam,Unknown,0,1,1,Police
2.02E+11,31-12-2020,India,Srinagar,The Resistance Front (TRF),1,0,1,Business
2.02E+11,30-12-2020,India,Malakangiri,Maoists,0,1,1,Military
2.02E+11,30-12-2020,India,Jandi,Unknown,0,0,0,Religious Figures/Institutions
2.02E+11,30-12-2020,India,Pusnar,Maoists,0,1,1,Unknown
2.02E+11,28-12-2020,India,West Singhbhum district,Communist Party of India - Maoist (CPI-Maoist),0,0,0,Unknown
2.02E+11,24-12-2020,India,Watergam,Unknown,0,1,1,Police
2.02E+11,24-12-2020,India,Srinagar,Unknown,0,0,0,Police
2.02E+11,23-12-2020,India,Dudderhama,Unknown,2,4,6,"Police,Government (General)"
2.02E+11,21-12-2020,India,West Singhbhum district,Communist Party of India - Maoist (CPI-Maoist),0,0,0,Unknown
2.02E+11,21-12-2020,India,Khumchaikha,"United Liberation Front of Assam (ULFA),National Socialist Council of Nagaland-Isak-Muivah (NSCN-IM),National Socialist Council of Nagaland-Khaplang (NSCN-K)",0,0,0,Business
2.02E+11,21-12-2020,India,Imphal,Unknown,0,0,0,Unknown
2.02E+11,20-12-2020,India,Achabal,Unknown,0,2,2,"Police,Police"
2.02E+11,19-12-2020,India,Swabhiman Anchal,Maoists,0,0,0,Military
2.02E+11,18-12-2020,India,Balumath,Jharkhand Janmukti Parishad (JJP),0,4,4,Business
2.02E+11,17-12-2020,India,Jadraguda,Maoists,1,0,1,Business
2.02E+11,17-12-2020,India,Kadalbal,Unknown,0,0,0,"Police,Police"
2.02E+11,17-12-2020,India,Bijbehara,Unknown,0,1,1,Police
2.02E+11,16-12-2020,India,Daraj,Unknown,0,1,1,Private Citizens & Property
2.02E+11,14-12-2020,India,Nongmeibung Seram Leikai,Kangleipak Communist Party (KCP) (suspected),0,0,0,Police
2.02E+11,14-12-2020,India,Srinagar,Unknown,1,0,1,Private Citizens & Property
2.02E+11,13-12-2020,India,Kishtaram,Maoists,1,0,1,Military
2.02E+11,12-12-2020,India,Narayanpur district,Maoists,0,1,1,Police
2.02E+11,12-12-2020,India,Lumshnong,Hynniewtrep National Liberation Council (HNLC),0,1,1,Business
2.02E+11,12-12-2020,India,Sopore,Lashkar-e-Taiba (LeT),0,3,3,"Police,Private Citizens & Property"
2.02E+11,11-12-2020,India,Srinagar,Unknown,0,0,0,Police
2.02E+11,11-12-2020,India,Wasoora,Unknown,0,1,1,Private Citizens & Property
2.02E+11,10-12-2020,Trinidad and Tobago,Indian Walk,Unknown,0,0,0,Government (General)
2.02E+11,10-12-2020,India,Nihama,Unknown,0,0,0,"Police,Police"
2.02E+11,09-12-2020,India,Singhpora,Unknown,0,6,6,"Military,Private Citizens & Property"
2.02E+11,07-12-2020,India,Malda Kumar Para,National Liberation Front of Tripura (NLFT),0,0,0,Business
2.02E+11,07-12-2020,India,Dogrian,Lashkar-e-Taiba (LeT),0,0,0,Private Citizens & Property
2.02E+11,06-12-2020,India,Gulgam,Unknown,0,0,0,Unknown
2.02E+11,06-12-2020,India,Latehar,Communist Party of India - Maoist (CPI-Maoist),0,0,0,Unknown
2.02E+11,06-12-2020,India,Sazgaripora,Unknown,0,2,2,"Police,Police,Private Citizens & Property"
2.02E+11,04-12-2020,India,Sagam,Unknown,0,1,1,Private Citizens & Property
2.02E+11,03-12-2020,India,Khongjom,Unknown,0,0,0,"Government (General),Business"
2.02E+11,02-12-2020,India,Kamkanar,Maoists,2,0,2,Private Citizens & Property
2.02E+11,01-12-2020,India,Handwara,Maoists,1,0,1,Private Citizens & Property
2.02E+11,01-12-2020,India,Soura,Unknown,1,0,1,Private Citizens & Property
2.02E+11,01-12-2020,India,Sopore,Unknown,0,0,0,Police
2.02E+11,01-12-2020,India,Rajpenta,Maoists,0,2,2,Private Citizens & Property
2.02E+11,30-11-2020,India,Gangaloor,Maoists,1,0,1,Private Citizens & Property
2.02E+11,28-11-2020,India,Latehar,Maoists,0,0,0,Business
2.02E+11,28-11-2020,India,Bastar,Maoists,1,8,9,Military
2.02E+11,26-11-2020,India,Sutnga,Hynniewtrep National Liberation Council (HNLC),0,0,0,Private Citizens & Property
2.02E+11,26-11-2020,India,Srinagar,"Jaish-e-Mohammad (JeM),Lashkar-e-Taiba (LeT)",2,0,2,Military
2.02E+11,21-11-2020,India,Chhath Ghat,Communist Party of India - Maoist (CPI-Maoist),1,0,1,Private Citizens & Property
2.02E+11,20-11-2020,India,Bijapur,Maoists,0,1,1,Unknown
2.02E+11,20-11-2020,India,Shurat,Unknown,0,0,0,Religious Figures/Institutions
2.02E+11,18-11-2020,India,Kamarguda,Maoists,0,1,1,Police
2.02E+11,18-11-2020,India,Kakapora,Unknown,0,12,12,"Police,Private Citizens & Property"
2.02E+11,17-11-2020,India,Peshrar,Communist Party of India - Maoist (CPI-Maoist),1,0,1,"Business,Private Citizens & Property"
2.02E+11,16-11-2020,India,Imphal,Unknown,0,2,2,Business
2.02E+11,16-11-2020,India,Shopian,Unknown,0,0,0,Police
2.02E+11,16-11-2020,India,Kulgam,Unknown,0,0,0,Police
2.02E+11,15-11-2020,India,Lohardaga,Communist Party of India - Maoist (CPI-Maoist),1,0,1,Private Citizens & Property
2.02E+11,15-11-2020,India,Bodhi Bigha,Communist Party of India - Maoist (CPI-Maoist),0,0,0,Private Citizens & Property
